Date, Close/Last, Volume, Open, High, Low
04/17/2020, $22.52, 5026745, $22, $22.66, $21.63
04/16/2020, $21.335, 2962034, $21.03, $21.35, $20.41
04/15/2020, $21.09, 2250104, $21.48, $21.5, $20.535
04/14/2020, $22.31, 2898489, $22.43, $22.75, $21.69
04/13/2020, $22, 2399171, $23.26, $23.26, $21.49
04/09/2020, $23.07, 3272889, $22.36, $23.595, $22.26
04/08/2020, $21.78, 2345246, $21.09, $22.41, $20.83
04/07/2020, $20.77, 4803206, $22.15, $22.91, $20.55
04/06/2020, $21.11, 3539624, $20.18, $21.31, $19.96
04/03/2020, $18.98, 3043750, $18.97, $19.47, $18.34
04/02/2020, $18.96, 3260451, $18.65, $19.5875, $18.18
04/01/2020, $18.7, 3652508, $19.07, $19.23, $18.07
03/31/2020, $19.99, 4079123, $20.67, $20.865, $19.795
03/30/2020, $20.73, 3242906, $20.93, $21.005, $19.77
03/27/2020, $20.98, 2741732, $21.24, $21.75, $20.54
03/26/2020, $22.32, 5172326, $20.74, $22.5, $20.51
03/25/2020, $20.64, 5072313, $20.71, $22.28, $19.49
03/24/2020, $20.74, 3780992, $19.4, $21.21, $19.39
03/23/2020, $18.15, 4815371, $20.53, $20.53, $17.15
03/20/2020, $19.97, 7205541, $20.15, $21.16, $18.94
03/19/2020, $21.87, 5842296, $18.53, $23.31, $17.5
03/18/2020, $18.74, 3880580, $19.26, $19.48, $17.09
03/17/2020, $20.88, 5977418, $19.25, $23.7, $17.97
03/16/2020, $18.79, 4947674, $19.07, $21.4, $18.51
03/13/2020, $21.59, 5995909, $21.12, $21.61, $19.6
03/12/2020, $19.85, 5897060, $21.67, $21.67, $19.6001
03/11/2020, $23.58, 4436983, $25.33, $25.69, $23.425
03/10/2020, $26.34, 3380435, $25.88, $26.47, $24.39
03/09/2020, $24.93, 6162004, $26.98, $27.16, $24.88
03/06/2020, $29.21, 6281448, $30.8, $31, $28.51
03/05/2020, $31.43, 3994664, $32.87, $33.15, $31.17
03/04/2020, $33.87, 4409590, $33.14, $33.92, $32.56
03/03/2020, $32.82, 3533951, $34.28, $35.41, $32.7
03/02/2020, $34.33, 3272468, $33.42, $34.33, $32.42
02/28/2020, $33.52, 7458961, $32.47, $33.71, $31.685
02/27/2020, $33.48, 6592602, $35.78, $35.78, $33.48
02/26/2020, $36.32, 2622940, $37.87, $38.48, $36.275
02/25/2020, $37.62, 3702628, $38.57, $38.975, $37.12
02/24/2020, $38.36, 3718166, $39.84, $39.98, $38.32
02/21/2020, $40.73, 2387525, $40.82, $40.88, $40.43
02/20/2020, $41, 3135853, $41.76, $41.85, $40.83
02/19/2020, $41.25, 5084701, $42, $42.62, $40.89
02/18/2020, $41.29, 5294606, $39.89, $41.56, $39.82
02/14/2020, $39.97, 3277856, $40.09, $40.26, $39.69
02/13/2020, $40.18, 5598753, $39.98, $40.55, $39.83
02/12/2020, $40.11, 9039569, $40.07, $42.01, $39.6
02/11/2020, $39.48, 15537330, $41.39, $41.5, $38.1741
02/10/2020, $36.85, 2790872, $36.75, $36.9, $36.36
02/07/2020, $36.78, 2712845, $36.79, $36.9399, $36.52
02/06/2020, $36.9, 2459900, $38.13, $38.47, $36.81
02/05/2020, $37.94, 3596547, $37.12, $38.25, $37.05
02/04/2020, $36.78, 2414232, $37.03, $37.16, $36.66
02/03/2020, $36.75, 1865649, $37.12, $37.42, $36.67
01/31/2020, $36.76, 2880448, $37.03, $37.08, $36.61
01/30/2020, $37.1, 2099040, $36.64, $37.16, $36.35
01/29/2020, $36.75, 2437203, $36.75, $37.15, $36.35
01/28/2020, $36.75, 2278259, $36.84, $37.3517, $36.63
01/27/2020, $36.75, 3666780, $36.27, $36.84, $36.21
01/24/2020, $36.74, 3801182, $36.9, $36.9, $36.24
01/23/2020, $36.89, 1895351, $36.6, $36.94, $36.26
01/22/2020, $36.75, 2177812, $36.85, $36.87, $36.33
01/21/2020, $36.75, 3111391, $36.75, $36.94, $36.33
01/17/2020, $36.79, 3427537, $36.75, $36.9, $36.22
01/16/2020, $36.82, 1326708, $36.68, $37.0355, $36.21
01/15/2020, $36.66, 1547601, $36.66, $36.72, $36.33
01/14/2020, $36.59, 2426505, $35.89, $36.85, $35.815
