Date, Close/Last, Volume, Open, High, Low
04/17/2020, $1279, 2552824, $1281.7, $1290, $1266
04/16/2020, $1257.43, 2894757, $1267.14, $1273.3586, $1238.2
04/15/2020, $1257.3, 2111842, $1246.51, $1275.1099, $1234
04/14/2020, $1265.23, 3167862, $1239.9735, $1275.7499, $1228.5413
04/13/2020, $1210.41, 1935128, $1201.5, $1214.5199, $1182.3318
04/09/2020, $1206.57, 2701423, $1218.18, $1221.99, $1192.4166
04/08/2020, $1207, 2016713, $1203.1, $1214.9, $1183.954
04/07/2020, $1182.56, 3080955, $1217.01, $1220.775, $1177.25
04/06/2020, $1183.19, 3165991, $1133, $1190.7547, $1125
04/03/2020, $1092.7, 2568694, $1114.71, $1118.79, $1075.08
04/02/2020, $1117.03, 2820534, $1100, $1122.77, $1093.13
04/01/2020, $1102.1, 2598519, $1124, $1129.42, $1093.49
03/31/2020, $1161.95, 3263971, $1148.73, $1173.4, $1136.72
03/30/2020, $1146.31, 2936827, $1132.64, $1151, $1098.4901
03/27/2020, $1110.26, 3139661, $1127.47, $1151.05, $1104.0027
03/26/2020, $1162.92, 3834422, $1114.72, $1171.48, $1092.03
03/25/2020, $1101.62, 4516162, $1124.58, $1146.17, $1083.01
03/24/2020, $1130.01, 3623435, $1103.98, $1133.33, $1086.43
03/23/2020, $1054.13, 4183629, $1056.37, $1066.91, $1008.87
03/20/2020, $1068.21, 4143897, $1130.9, $1138.4783, $1062.1
03/19/2020, $1111.67, 3703248, $1088.22, $1152.61, $1055.55
03/18/2020, $1091.19, 4652238, $1059.94, $1104.99, $1037
03/17/2020, $1118.06, 4159686, $1090.64, $1126, $1049.1
03/16/2020, $1073, 4825981, $1089.61, $1145.47, $1067.0801
03/13/2020, $1214.27, 3969973, $1174.99, $1214.4, $1112.29
03/12/2020, $1111.55, 4716293, $1122.62, $1188.75, $1108.47
03/11/2020, $1210.9, 2741694, $1248.27, $1256.93, $1191.14
03/10/2020, $1275.17, 2743566, $1254.39, $1275.85, $1214.51
03/09/2020, $1215.79, 3462578, $1204.96, $1252.73, $1198.04
03/06/2020, $1295.74, 3232315, $1269.95, $1302.75, $1257.21
03/05/2020, $1314.76, 2718982, $1345.55, $1353.63, $1301.64
03/04/2020, $1381.6, 2379856, $1358.96, $1382.78, $1337
03/03/2020, $1337.72, 2830112, $1397.68, $1408.19, $1329.2421
03/02/2020, $1386.32, 2771463, $1351.39, $1387.47, $1325.2
02/28/2020, $1339.25, 4010900, $1274.31, $1342.45, $1268.21
02/27/2020, $1314.95, 3114476, $1359.14, $1369.4, $1314.24
02/26/2020, $1390.47, 2490178, $1394.98, $1413.67, $1376.5501
02/25/2020, $1386.32, 2578966, $1431, $1436.847, $1380.42
02/24/2020, $1419.86, 2478039, $1423.05, $1436.38, $1406.79
02/21/2020, $1483.46, 2126843, $1504.58, $1510.945, $1478.49
02/20/2020, $1516.99, 1298386, $1519.01, $1527.07, $1504.255
02/19/2020, $1524.87, 1137338, $1527.2, $1530.74, $1520.976
02/18/2020, $1519.44, 1284011, $1514.34, $1530.555, $1511.01
02/14/2020, $1518.73, 1159857, $1514.53, $1520.05, $1505.55
02/13/2020, $1513.39, 1145658, $1510, $1525.946, $1504
02/12/2020, $1518.63, 1552136, $1515.86, $1520.3, $1508.67
02/11/2020, $1510.06, 1742647, $1513.27, $1529.8799, $1505.4501
02/10/2020, $1508.66, 1915072, $1477.23, $1508.88, $1475.2
02/07/2020, $1479.11, 1418049, $1467.385, $1485.245, $1465.41
02/06/2020, $1475.97, 1891079, $1451.98, $1481.56, $1450.48
02/05/2020, $1446.05, 1818793, $1463.61, $1464.58, $1429.675
02/04/2020, $1445.41, 4793967, $1454.49, $1467.335, $1422.03
02/03/2020, $1482.6, 3608760, $1461.65, $1486.3, $1456.61
01/31/2020, $1432.78, 2191075, $1467.86, $1469.67, $1427.06
01/30/2020, $1454.25, 1355472, $1438.1, $1455.25, $1435
01/29/2020, $1456.7, 1081964, $1458.46, $1464.14, $1445.385
01/28/2020, $1450.5, 1486586, $1441.74, $1454.8, $1430.36
01/27/2020, $1431.73, 1706566, $1431.54, $1436.58, $1419.5
01/24/2020, $1466.17, 1489280, $1492.82, $1494.2, $1463.1796
01/23/2020, $1484.69, 1332562, $1487.55, $1493.5, $1480.32
01/22/2020, $1484.17, 1422946, $1489.73, $1500.5812, $1482.6614
01/21/2020, $1482.25, 2446601, $1479, $1489.8845, $1470.21
01/17/2020, $1479.52, 2621175, $1462.54, $1480.55, $1456.55
01/16/2020, $1450.16, 1304040, $1445.45, $1450.7, $1440
01/15/2020, $1439.2, 1077519, $1433.02, $1440.78, $1431.66
01/14/2020, $1430.59, 1305636, $1440, $1442.63, $1427.77
01/13/2020, $1440.03, 1537317, $1435.25, $1441.48, $1425.37
01/10/2020, $1428.96, 1313178, $1429.47, $1434.9399, $1419.5977
01/09/2020, $1419.79, 1661438, $1421.93, $1428.68, $1410.21
01/08/2020, $1405.04, 1766274, $1394.82, $1411.85, $1392.63
01/07/2020, $1395.11, 1726456, $1400.46, $1403.5, $1391.555
01/06/2020, $1397.81, 2339343, $1351.63, $1398.32, $1351
01/03/2020, $1361.52, 1170629, $1348, $1373.75, $1347.3236
01/02/2020, $1368.68, 1364265, $1348.41, $1368.68, $1346.49
12/31/2019, $1339.39, 976061, $1335.79, $1340.66, $1332.13
12/30/2019, $1339.71, 1000592, $1356.81, $1357, $1337.835
12/27/2019, $1354.64, 1160873, $1364, $1367.07, $1353
