Date, Close/Last, Volume, Open, High, Low
04/17/2020, $3.2, 26799890, $3.85, $3.85, $3.05
04/16/2020, $2.44, 6290822, $2.35, $2.49, $2.15
04/15/2020, $2.41, 11378000, $2.15, $2.46, $2.02
04/14/2020, $2.18, 11747930, $2.21, $2.365, $2.14
04/13/2020, $2.08, 19784090, $2.34, $2.36, $1.95
04/09/2020, $2.6, 13981180, $3.3, $3.3, $2.58
04/08/2020, $3.3, 7997628, $3.05, $3.32, $2.8
04/07/2020, $3.14, 8977051, $3.17, $3.73, $3.05
04/06/2020, $2.88, 6912015, $2.5, $2.97, $2.4
04/03/2020, $2.27, 7493379, $2.32, $2.34, $2
04/02/2020, $2.24, 8808060, $2.74, $2.78, $2.18
04/01/2020, $2.62, 5898611, $3, $3.04, $2.5
03/31/2020, $3.16, 3640469, $3.15, $3.29, $3.08
03/30/2020, $3.04, 4219670, $3.45, $3.5, $3.04
03/27/2020, $3.6, 3431371, $3.57, $3.75, $3.3
03/26/2020, $3.7, 5104322, $3.46, $3.95, $3.44
03/25/2020, $3.46, 8112920, $3.92, $3.98, $3.25
03/24/2020, $3.56, 5168287, $3.5, $3.56, $3.2677
03/23/2020, $3.15, 6481282, $3.23, $3.4, $2.71
03/20/2020, $3.19, 5753982, $3.4, $3.6, $3.02
03/19/2020, $3.37, 8614592, $2.64, $3.47, $2.38
03/18/2020, $2.47, 7753495, $2.28, $3, $2.11
03/17/2020, $2.48, 7685679, $2.62, $2.75, $1.95
03/16/2020, $2.6, 8497882, $2.64, $2.9, $2.6
03/13/2020, $3.22, 6158287, $3.14, $3.273, $2.8
03/12/2020, $2.91, 8058027, $2.68, $3.15, $2.65
03/11/2020, $3.64, 4080272, $3.98, $4.07, $3.56
03/10/2020, $4.2, 3686953, $4.17, $4.29, $3.76
03/09/2020, $3.85, 3404003, $3.95, $4.0699, $3.68
03/06/2020, $4.53, 4599926, $4.62, $4.73, $4.37
03/05/2020, $4.92, 5853094, $5.6, $5.61, $4.75
03/04/2020, $5.82, 4483701, $5.86, $5.9, $5.4333
03/03/2020, $5.81, 3842979, $6.1, $6.13, $5.64
03/02/2020, $6.11, 4585413, $6.31, $6.32, $5.63
02/28/2020, $6.26, 7556372, $6.51, $6.65, $5.98
02/27/2020, $6.09, 6293973, $5.71, $6.2, $5.12
02/26/2020, $5.93, 7181255, $6.57, $6.62, $5.87
02/25/2020, $6.55, 4180967, $7, $7.2762, $6.48
02/24/2020, $7.05, 3210933, $7.14, $7.14, $6.84
02/21/2020, $7.46, 3035195, $7.7, $7.75, $7.33
02/20/2020, $7.76, 3649063, $7.32, $7.78, $7.21
02/19/2020, $7.31, 2308485, $7.1, $7.44, $7.06
02/18/2020, $7.04, 2143451, $7.09, $7.25, $7.03
02/14/2020, $7.1, 1706158, $7.01, $7.19, $6.88
02/13/2020, $7, 1553432, $6.75, $7.08, $6.72
02/12/2020, $6.86, 1922115, $6.93, $7.0798, $6.82
02/11/2020, $6.94, 1568457, $6.8, $6.98, $6.645
02/10/2020, $6.79, 1360325, $6.55, $6.83, $6.47
02/07/2020, $6.55, 2063102, $6.7, $6.75, $6.54
02/06/2020, $6.75, 2713416, $7.03, $7.13, $6.73
02/05/2020, $7, 2167202, $6.72, $7.095, $6.69
02/04/2020, $6.65, 2004517, $6.46, $6.69, $6.385
02/03/2020, $6.45, 1413558, $6.5, $6.59, $6.41
01/31/2020, $6.52, 1883250, $6.81, $6.87, $6.5
01/30/2020, $6.84, 1640585, $6.62, $6.88, $6.46
01/29/2020, $6.77, 1438201, $6.86, $6.89, $6.69
01/28/2020, $6.79, 2094738, $6.35, $6.8, $6.29
01/27/2020, $6.36, 3163859, $6.51, $6.535, $6.25
01/24/2020, $6.74, 2282773, $6.76, $6.8, $6.6
01/23/2020, $6.8, 2029426, $6.93, $7, $6.6812
01/22/2020, $6.97, 2717020, $7.21, $7.2201, $6.93
01/21/2020, $7.18, 1831353, $7.26, $7.32, $7.15
01/17/2020, $7.28, 2016869, $7.36, $7.3813, $7.13
01/16/2020, $7.33, 3350360, $7.19, $7.44, $7.19
01/15/2020, $7.11, 4660332, $6.85, $7.335, $6.8
01/14/2020, $6.85, 2713281, $6.55, $6.96, $6.45
01/13/2020, $6.56, 2840505, $6.5, $6.635, $6.42
01/10/2020, $6.47, 5204132, $6.44, $6.67, $6.4099
01/09/2020, $6.46, 6795629, $6.66, $6.68, $6.35
01/08/2020, $6.62, 6570313, $7.11, $7.15, $6.61
01/07/2020, $7.13, 3235643, $7.11, $7.2, $7
01/06/2020, $7.12, 2903692, $7.25, $7.3, $7.11
01/03/2020, $7.32, 2218009, $7.45, $7.6, $7.305
01/02/2020, $7.46, 4529669, $7.3, $7.56, $7.23
12/31/2019, $7.24, 3279469, $7.24, $7.295, $7.15
12/30/2019, $7.24, 3371853, $7.31, $7.42, $7.23
12/27/2019, $7.3, 3911566, $7.3, $7.3999, $7.2
12/26/2019, $7.34, 3305908, $7.55, $7.56, $7.32
12/24/2019, $7.51, 3618225, $7.47, $7.67, $7.43
12/23/2019, $7.32, 6558206, $7.73, $7.75, $7.31
12/20/2019, $7.73, 4226703, $7.82, $7.96, $7.72
12/19/2019, $7.8, 5492239, $7.96, $7.9988, $7.68
12/18/2019, $7.96, 4395030, $7.78, $8.13, $7.66
12/17/2019, $8.12, 3586739, $8.35, $8.4, $8.08
12/16/2019, $8.35, 4789863, $8.45, $8.78, $8.35
12/13/2019, $8.22, 1382531, $8.3, $8.41, $8.19
12/12/2019, $8.3, 2407895, $8.25, $8.44, $8.18
12/11/2019, $8.16, 1698027, $8.06, $8.18, $8.01
12/10/2019, $8.1, 2442648, $8.19, $8.41, $8.09
12/09/2019, $8.23, 1905592, $8.03, $8.27, $7.84
12/06/2019, $8.05, 1586070, $7.88, $8.15, $7.88
12/05/2019, $7.87, 2749598, $7.95, $8.02, $7.77
12/04/2019, $7.93, 4295897, $8.3, $8.32, $7.88
12/03/2019, $8.27, 3675372, $8.57, $8.5827, $8.21
12/02/2019, $8.67, 4170878, $8.24, $8.71, $8.22
11/29/2019, $8.18, 2408192, $8.26, $8.4, $8.08
11/27/2019, $8.43, 5746783, $8, $8.65, $8
