Date, Close/Last, Volume, Open, High, Low
04/17/2020, $13.48, 7381523, $12.77, $13.87, $12.77
04/16/2020, $11.61, 3962840, $11.36, $12, $10.97
04/15/2020, $11.43, 6240717, $10.77, $11.51, $10.3
04/14/2020, $11.39, 4517908, $11.73, $12.35, $11.32
04/13/2020, $10.8, 5658185, $12.56, $12.74, $10.78
04/09/2020, $12.5, 9341029, $11.9, $12.99, $11.69
04/08/2020, $11.35, 4473125, $11.7, $11.7, $10.82
04/07/2020, $10.85, 7446263, $11.16, $11.8, $10.2834
04/06/2020, $9.28, 4339248, $9.23, $9.68, $8.69
04/03/2020, $8.39, 4778148, $8.72, $8.81, $8.03
04/02/2020, $8.41, 7744241, $8.16, $9.57, $8.16
04/01/2020, $8.03, 8414349, $9.78, $9.88, $7.64
03/31/2020, $10.19, 2898099, $10.24, $10.98, $10
03/30/2020, $10.1, 3146234, $11.79, $11.86, $10
03/27/2020, $12.3, 2788077, $11.95, $12.48, $11.28
03/26/2020, $12.68, 4661477, $11.95, $12.89, $11.25
03/25/2020, $11.63, 5175189, $12.74, $13.46, $11
03/24/2020, $11.58, 4840867, $13.52, $14.97, $11.49
03/23/2020, $12.29, 7076769, $11.51, $13.24, $9.3401
03/20/2020, $11.42, 13153190, $12.28, $13.4, $10.19
03/19/2020, $11.39, 11303120, $6.56, $12.69, $6.33
03/18/2020, $6.58, 15366920, $6.81, $6.97, $5.71
03/17/2020, $6.96, 13341060, $10.21, $10.22, $6.75
03/16/2020, $10.13, 9997683, $12.7, $12.93, $8.25
03/13/2020, $14.7, 7679074, $16.01, $16.01, $13.335
03/12/2020, $14.68, 7448406, $17.72, $17.79, $14.44
03/11/2020, $19.49, 3325437, $21.24, $21.41, $19.37
03/10/2020, $22.01, 3303755, $21.76, $22.84, $19.84
03/09/2020, $21.01, 4522325, $22.35, $22.41, $20.73
03/06/2020, $23.58, 5145449, $22.16, $23.94, $21.88
03/05/2020, $23.08, 4529269, $23.11, $23.41, $22.36
03/04/2020, $24.19, 3306732, $24.54, $24.57, $22.63
03/03/2020, $24.15, 2712034, $24.91, $25.1, $23.735
03/02/2020, $24.74, 3766211, $26.1, $26.16, $23.82
02/28/2020, $25.96, 4828384, $24.55, $26.63, $24.51
02/27/2020, $25.17, 8797888, $24.78, $26.55, $23.7
02/26/2020, $25.48, 6282368, $27.15, $27.25, $25.03
02/25/2020, $27, 4437520, $28.77, $29.03, $26.96
02/24/2020, $28.69, 3058120, $28.36, $29.17, $28.1
